ID,Address,USDT Amount,wBTC Amount,claimedAt,claimReqId,claimReqStatus
42,"0x740534C8855f1fD0102f537049d4C8833D956376","13.0013","0.00042423","2023-05-23T19:34:39.701Z","99d988ee-abef-4200-a9b7-d70785dbd065","pending"
43,"0x740534C8855f1fD0102f537049d4C8833D956376","5.0005","0.0001794","2023-05-23T19:46:54.524Z","7af9fa19-093a-489b-93ed-8434cec141ec","pending"
44,"0x740534C8855f1fD0102f537049d4C8833D956376","0.010001","0.00034568","2023-05-23T19:47:49.970Z","dca47c71-49ed-498b-9786-70493bab63f7","pending"
45,"0x740534C8855f1fD0102f537049d4C8833D956376","13.0013","0.00042423","2023-05-23T19:49:15.458Z","153758e4-4ae2-4625-9c01-7ef3ee1982ff","pending"
46,"0x740534C8855f1fD0102f537049d4C8833D956376","5.0005","0.0001794","2023-05-23T19:55:10.776Z","44c09ccf-f6d3-45fe-b9ff-abd9b87324cd","pending"
47,"0x740534C8855f1fD0102f537049d4C8833D956376","5.0005","0.0001794","2023-05-23T19:55:25.773Z","484fac2d-f373-4602-8bd4-de92ca4bcacc","pending"
48,"0x740534C8855f1fD0102f537049d4C8833D956376","5.0005","0.0001794","2023-05-23T19:55:36.919Z","0763b521-7597-4cc0-a5f3-89524bde8254","pending"
49,"0x740534C8855f1fD0102f537049d4C8833D956376","5.0005","0.0001794","2023-05-23T19:55:45.862Z","6d301800-cb55-492f-9493-cab1679e33f5","pending"
50,"0x740534C8855f1fD0102f537049d4C8833D956376","5.0005","0.0001794","2023-05-23T19:55:58.292Z","a9464a2b-5f3c-4845-a6bd-b6604c972f23","pending"
51,"0x740534C8855f1fD0102f537049d4C8833D956376","0.010001","0.00034568","2023-05-23T19:57:00.165Z","f727d0d7-f9c3-42cf-a897-4444291864ac","pending"
52,"0x740534C8855f1fD0102f537049d4C8833D956376","0.010001","0.00034568","2023-05-23T19:57:13.529Z","4456b76b-c3ff-4417-a42e-20093f01a56c","pending"
53,"0x44A5357500804B18f337cfcdDbc7231F2aBeC073","20.00209","0.00087028","2023-05-23T20:49:58.154Z","9b87d9d2-998d-41e4-bce3-10a61691ae73","pending"
54,"0xdec71D763A19A95b56Ce39E44AdefAdD52a6B52e","10.001045","0.00043514","2023-05-23T21:06:07.268Z","b70425ba-462b-4fb4-8a33-3d1aaea2a41e","pending"
55,"0xdec71D763A19A95b56Ce39E44AdefAdD52a6B52e","13.0013","0.00042423","2023-05-23T21:06:34.675Z","64bbc0b9-bc07-4172-b2af-e0883af22e55","pending"
56,"0xdec71D763A19A95b56Ce39E44AdefAdD52a6B52e","0.010001","0.00034568","2023-05-23T21:06:48.486Z","300b2b02-aa63-4834-af58-f9403bbebb44","pending"
57,"0xdec71D763A19A95b56Ce39E44AdefAdD52a6B52e","5.0005","0.0001794","2023-05-23T21:07:09.579Z","50b4f3c2-e1b7-49d2-bb46-e07249775344","pending"
58,"0x36eF3e1C44Eb93f57c564490f4d7836dd4aCA202","30.003135","0.00130542","2023-05-23T21:09:24.096Z","ada6aa6e-299f-4a90-8dc7-bb32d62fcffd","pending"
59,"0xF478D08395EC773E41A78342bb5dAb4F013EF376","70.00699999999999","0.0025116","2023-05-23T21:14:32.483Z","9d32fdf8-6886-41f7-8b14-8791a2dda7cf","pending"
60,"0x18B6B28A6312fF3344ef2980d03Bba9CDe4D253e","30.003135","0.00130542","2023-05-23T21:14:49.500Z","a211360e-f1ba-4afd-afcf-adf3a5c730f3","pending"
61,"0x18B6B28A6312fF3344ef2980d03Bba9CDe4D253e","39.0039","0.00127269","2023-05-23T21:15:42.864Z","7cd0ccfc-6963-4af2-8afb-164d0fd4e37b","pending"
62,"0x18B6B28A6312fF3344ef2980d03Bba9CDe4D253e","0.030003","0.00103704","2023-05-23T21:16:40.669Z","d6594801-9e2a-4cd8-9856-4b42106140a3","pending"
63,"0x18B6B28A6312fF3344ef2980d03Bba9CDe4D253e","15.0015","0.0005382","2023-05-23T21:17:15.237Z","85f15359-f62c-4d06-b8e3-4f2703897e27","pending"
64,"0x876F611950Ce5D7bC6800398b7D683bAcd0559D8","25.0025","0.000897","2023-05-23T21:19:27.488Z","e2d9385f-8dd4-4a00-99ce-4f5234b333f7","pending"
65,"0x44A5357500804B18f337cfcdDbc7231F2aBeC073","0.040004","0.00138272","2023-05-23T22:05:28.305Z","ebcd3873-6879-4779-acf7-6c42157170ce","pending"
66,"0x44A5357500804B18f337cfcdDbc7231F2aBeC073","26.0026","0.00084846","2023-05-23T22:06:04.840Z","ffccb9e7-4eeb-4cf8-b2b1-204571027453","pending"
67,"0xA5c87b2a1f839Fa74Be52fF772fe924D84fe0117","0.010001","0.00034568","2023-05-23T22:07:02.883Z","036636e2-a790-4535-92a8-0d5ba677355f","pending"
68,"0xA5c87b2a1f839Fa74Be52fF772fe924D84fe0117","10.001045","0.00043514","2023-05-23T22:07:24.949Z","0f7e3dee-3c1c-445d-a08e-88ff7edb0222","pending"
69,"0xA5c87b2a1f839Fa74Be52fF772fe924D84fe0117","0.010001","0.00034568","2023-05-23T22:07:47.563Z","fd7b4f07-6101-4589-9272-6011fb120df7","pending"
70,"0xA5c87b2a1f839Fa74Be52fF772fe924D84fe0117","5.0005","0.0001794","2023-05-23T22:08:09.023Z","dcd5b300-52fb-4466-b22f-d186186f89c9","pending"
