ID,Address,USDT Amount,wBTC Amount,claimedAt,claimReqId,claimReqStatus,airdropId
1673,0x9197FE7c1e14439452A3720D6E8028FDD4f7B318,15.0015,0.0011184,2023-06-24T06:09:58.227Z,e9e203a3-5b0e-40d6-a591-df7cd5930727,pending,6
1674,0x330e857A30c71929aeC897C744C4e6716A88507D,10.001,0.0003588,2023-06-24T06:44:48.353Z,fea10576-6f5d-4ee2-8134-13efa523849c,pending,5
1675,0x330e857A30c71929aeC897C744C4e6716A88507D,0.020002,0.00069136,2023-06-24T06:45:07.223Z,26dd38e3-c256-4a14-8552-d9e8419fbe8e,pending,4
1676,0x330e857A30c71929aeC897C744C4e6716A88507D,26.0026,0.00084846,2023-06-24T06:45:26.993Z,a23ab0b2-9731-4c17-ac92-54410eddd4ef,pending,3
1677,0x44A5357500804B18f337cfcdDbc7231F2aBeC073,20.002,0.0014912,2023-06-24T08:22:19.846Z,999e5e21-108b-4432-a09d-ded5b8635db1,pending,6
1678,0x44A5357500804B18f337cfcdDbc7231F2aBeC073,20.002,0.0007176,2023-06-24T08:23:27.394Z,2256195d-c734-4b60-9fdf-efdff631a46c,pending,5
1679,0x5702CcA32E375F487F44E87914b84C19d7Ba0305,10.001045,0.00043514,2023-06-24T11:03:11.031Z,2a392d8c-27e2-47bc-8731-a43bf83a404b,pending,2
1680,0x5702CcA32E375F487F44E87914b84C19d7Ba0305,0.010001,0.00034568,2023-06-24T11:04:34.996Z,1b9837cb-3476-4cd0-9884-9a4c12117876,pending,4
1681,0x5702CcA32E375F487F44E87914b84C19d7Ba0305,13.0013,0.00042423,2023-06-24T11:05:06.729Z,c410f00e-e332-48cf-8d5d-07619f177e96,pending,3
1682,0x5702CcA32E375F487F44E87914b84C19d7Ba0305,5.0005,0.0001794,2023-06-24T11:05:30.257Z,d4e95a8a-e569-4a9f-b37a-4f94e2af5502,pending,5
1683,0x5702CcA32E375F487F44E87914b84C19d7Ba0305,5.0005,0.0003728,2023-06-24T11:05:58.405Z,648b53fb-430a-4f34-84ee-cd263f2064e3,pending,6
1684,0x1f47a35fD593B3d80d35b031D2927A822Dbe2542,10.001045,0.00043514,2023-06-24T11:10:14.772Z,833011fc-4b95-4109-a116-9a75fc2a32ba,pending,2
