ID,Address,USDT Amount,wBTC Amount,claimedAt,claimReqId,claimReqStatus,airdropId
1587,"0x1EEE6320c99Fe05F573B51228b25d3C214cA0fA2","5.0005","0.0003728","2023-06-18T22:48:09.939Z","f1f42613-6632-48d3-84eb-d50dfc5771e2","pending",null
1588,"0x1EEE6320c99Fe05F573B51228b25d3C214cA0fA2","5.0005","0.0001794","2023-06-18T22:48:39.461Z","50190b5d-5872-476a-9daa-58f6fd2c55f2","pending",null
1589,"0x4b5D0E3cF191331f2901651105474CAE5C2965c9","25.0025","0.000897","2023-06-18T22:59:17.388Z","08a5e3fc-8010-4d6d-8bd4-e57ac3fe69d3","pending",null
1590,"0x403ee85A0913fCCFFFec6d09bdf76Aef2fAD7344","60.006","0.0021528","2023-06-18T23:34:17.882Z","54de3819-520b-4c3b-a128-3b82f511af7b","pending",null
1591,"0x403ee85A0913fCCFFFec6d09bdf76Aef2fAD7344","60.006","0.0044736","2023-06-18T23:34:49.576Z","a97d99fb-bad7-49a3-8943-dfc769379a83","pending",null
1592,"0xA5c87b2a1f839Fa74Be52fF772fe924D84fe0117","13.0013","0.00042423","2023-06-18T23:49:11.470Z","e190f1e3-0e9e-40e0-846a-21967a722381","pending",null
1593,"0xA5c87b2a1f839Fa74Be52fF772fe924D84fe0117","5.0005","0.0003728","2023-06-18T23:49:58.844Z","292baf9d-175a-4b16-a99f-24954243e2ce","pending",null
1594,"0x24334d1CB4A07B39515C208F69B706e4Bab4d7c7","0.030003","0.00103704","2023-06-19T01:48:41.173Z","0ae3b658-147c-4cbf-8ebc-3fa22ae51eea","pending",null
1595,"0x609d1532cD0b1f25c2D8dB569D5BB8b50dE40154","5.0005","0.0001794","2023-06-19T02:55:27.277Z","d050e731-6a9f-4154-bfcd-0c8f5c399192","pending",null
1596,"0x609d1532cD0b1f25c2D8dB569D5BB8b50dE40154","5.0005","0.0003728","2023-06-19T02:55:49.568Z","040fea6e-9dbe-489b-82db-803d06140b2b","pending",null
1597,"0x84Cd8D787d90763D4264BA7a0275dBD3d2D7eb46","20.00209","0.00087028","2023-06-19T04:37:21.295Z","73856231-f3ed-4209-99d2-337edd1db978","pending",null
