ID,Address,USDT Amount,wBTC Amount,claimedAt,claimReqId,claimReqStatus
234,0x2bba85A7Dc2D31B5e8A3DA667AEdBa9a387157FA,5.0005,0.0001794,2023-05-27T21:49:26.879Z,986b406c-57ea-4392-a890-70394f8695a6,pending
235,0x769164Cf5661621a55Bf5C83bCF621E4dD2ec20b,13.0013,0.00042423,2023-05-27T22:00:10.344Z,bd081b99-ead7-4ca6-b1ce-af39a1f2a9bc,pending
236,0x016084B4E35ED9e6bfB8A06ff634d40468C0626A,10.001045,0.00043514,2023-05-28T04:14:12.396Z,0c257c15-0d63-400a-a485-dfa879fd8afb,pending
237,0x016084B4E35ED9e6bfB8A06ff634d40468C0626A,13.0013,0.00042423,2023-05-28T04:14:37.426Z,4523cb72-3c76-4e52-b809-6ee08fc3c59e,pending
238,0x016084B4E35ED9e6bfB8A06ff634d40468C0626A,0.010001,0.00034568,2023-05-28T04:14:53.315Z,c038e997-0c36-4de1-81b2-b7151f65298c,pending
239,0x874DFF0432b9545b3fb11d53b60cBaF933cBfA81,234.0234,0.00763614,2023-05-28T04:46:25.971Z,85572978-d461-477b-91ab-5fcc1b4f7639,pending
240,0x874DFF0432b9545b3fb11d53b60cBaF933cBfA81,0.180018,0.00622224,2023-05-28T04:47:00.218Z,7ba0eb2b-8d08-4413-b62e-fe35e709888b,pending
241,0x874DFF0432b9545b3fb11d53b60cBaF933cBfA81,90.009,0.0032292,2023-05-28T04:47:22.550Z,19c9bf07-4a60-464c-8d40-dc3f06779a9d,pending
242,0xf7Db4e023E8FaC18423Aa91cC6c413C10285A285,5.0005,0.0001794,2023-05-28T10:58:46.967Z,03e550b0-18db-4419-9597-326617418373,pending
243,0x5aA9C8c0D242B33A47A6F4F133B2afEB5f575841,0.020002,0.00069136,2023-05-28T16:37:35.868Z,07e71c09-379d-4329-91a6-fbd4e88dbf4b,pending
244,0x5aA9C8c0D242B33A47A6F4F133B2afEB5f575841,10.001,0.0003588,2023-05-28T16:38:06.945Z,df3c5278-c619-4803-b22d-317adc94b249,pending
245,0x15c45d41Af30d3e145CaCE1BCEd8059ce9106e4C,0.05000499999999999,0.0017284,2023-05-28T17:16:33.694Z,245eabfb-43cd-4c4d-9322-6b9cac63ee29,pending
246,0x15c45d41Af30d3e145CaCE1BCEd8059ce9106e4C,25.0025,0.000897,2023-05-28T17:22:45.907Z,0d95b9b5-742a-4e6e-9c28-cd2274625438,pending
247,0x063E7409a82014c289Ec0b5385A579ce5576424d,5.0005,0.0001794,2023-05-28T18:01:44.603Z,6a3e2c59-4ad6-4967-8670-8ae29479b63b,pending
