ID,Address,USDT Amount,wBTC Amount,claimedAt,claimReqId,claimReqStatus
656,0x4556F3d8d43cfBDa144A8d2f27bd0Ba09ED00448,10.001,0.0007456,2023-06-02T14:06:12.633Z,a69cccd4-bb7e-43a8-a0a5-62a1b6ed9a08,pending
692,0xD4386a878b76715537B2f030F11A4ac933906dAF,5.0005,0.0003728,2023-06-02T18:43:55.982Z,8f7a3462-d5ef-476d-adfb-e75d87227835,pending
732,0xBA271B0fC1B1810B16048F5d841391637Ea2cb27,13.0013,0.00042423,2023-06-02T23:25:49.706Z,ac615041-2881-4c20-980b-229b1ee7c79a,pending
739,0x1AFE65acbc2936D32A2EB1bE0E7714cB65B38A1A,5.0005,0.0003728,2023-06-03T00:18:53.656Z,46887662-ef8e-4317-b353-3958a5fa60b2,pending
750,0x876F611950Ce5D7bC6800398b7D683bAcd0559D8,0.05000499999999999,0.0017284,2023-06-03T01:39:08.830Z,05f75e38-796d-4180-bcda-381b7115646a,pending
770,0x8E6A30A188Df2f88F74900A43Feb96094Cb7e9Ce,10.001,0.0003588,2023-06-03T05:25:09.751Z,df1fb800-4258-4f45-86ee-d4837fed8637,pending
793,0x8861B4257De92d7138AeC34a4E8Ed881F783F832,10.001,0.0007456,2023-06-03T09:47:54.586Z,256247dd-f083-4251-a48b-21fdda0574d2,pending
861,0x26C427bD9D017ADf5c940C10C37C8d008b69E0cd,0.010001,0.00034568,2023-06-03T18:46:13.138Z,9cb6ef06-8686-4d85-87de-44a12f4ae48e,pending
953,0x178cb7c511B557e413f03e9A8A6fA7243d96c436,13.0013,0.00042423,2023-06-04T15:54:59.969Z,711fcf85-f82f-4fa0-b242-5520919fc816,pending
966,0xC31cA0dFc4537d4c214c3aE94a14442D50729401,5.0005,0.0003728,2023-06-04T17:37:06.504Z,ed4a145e-7e61-4e3e-b09b-96bc517f10f0,pending
971,0x6C0b62d7Ef3c142C1D4F775e4ad6e2582FA21201,5.0005,0.0003728,2023-06-04T18:01:43.560Z,21c04ec5-878f-4279-a609-669aa7a993b4,pending
1062,0x5F74B7Af5956eBD7B17efbD9dD2c31d9bb5F1c92,10.001045,0.00043514,2023-06-05T17:02:28.791Z,8000865e-869b-46ca-b8cc-bb29b6ea5f69,pending
1067,0x42c230e18EAC8E26BD2af62b898cB31010183a2D,5.0005,0.0003728,2023-06-05T17:51:17.504Z,ab250861-7da3-4826-b16d-6463c6e369e8,pending
1077,0x54340C04b656f40C53F2ccfE6d82149dD0Ac3DD7,0.010001,0.00034568,2023-06-05T18:06:53.769Z,b61253af-5bf2-4bef-901b-6248f84057f4,pending
1138,0x21e79d6B6448959dF353750d0a076caBD17C987a,5.0005,0.0001794,2023-06-06T12:27:59.850Z,1e25c664-4d73-458c-9294-d9650bf64a21,pending
1144,0x17f9d93508152124A5ECD871b0478e190198e387,15.0015,0.0005382,2023-06-06T14:27:42.263Z,d4f45822-6f0a-425c-b67a-ee4e23a5da19,pending
1160,0x7576A4B8108FE86EeF3BFB4782eB3F4873816Bba,0.010001,0.00034568,2023-06-06T17:03:04.701Z,511e4f8d-e45c-4898-906e-9c547e52a792,pending
1170,0x876F611950Ce5D7bC6800398b7D683bAcd0559D8,65.0065,0.00212115,2023-06-06T21:24:13.125Z,fec594bb-a0d1-4b78-a0e7-cd4215e361db,pending
1190,0x1C816960b1C1891aedF48e3846EB950506BD8962,20.00209,0.00087028,2023-06-07T05:34:21.509Z,3212c5eb-8eb0-4769-99f1-9d5c49517d6e,pending
1224,0xAd494E7725b5AA7BCF7b5456942BB76E3A76d26a,10.001045,0.00043514,2023-06-07T20:05:27.009Z,9eada0c8-0d31-47fe-a7e0-d6d6d152e495,pending
1236,0x0089adb1B41fcbAeea05871fB2dcB5AfF704aD7A,15.0015,0.0011184,2023-06-08T00:02:28.402Z,b386df86-3022-47bc-9c26-1ccb30bb6e6d,pending
